Nome,"Tipo Variação",Variante,Categoria,Marca,Referência,"Código de Barras",Descrição,"Descrição na Fatura",PVP,"Preço Fornecedor",Unidade,"Controlar Stock","IVA - Taxa","IVA - Isenção (Código)","IVA - Isenção (Norma)","Tipo de Produto","Classe de Bem","Loja principal","Stock - Loja principal","Margem de Lucro (%)- Normal",Imagem
"Combinado 3 (16 pçs)",,,"Take away Sushi in Sushi",,VCOM138-24040277,,,Não,"13,0000","0,0000",Uni,Sim,13,,,P,,S,"-18,0000",100,https://www.vendus.pt/foto/192ee47c4c2312e7edb6c7fa7f61b164.png
"Combinado 4 (16 pçs)",,,"Take away Sushi in Sushi",,VCOM139-24040285,,,Não,"13,0000","0,0000",Uni,Sim,13,,,P,,S,"-15,0000",100,https://www.vendus.pt/foto/5bf89ae2f619e8696e3ddfc1c300468c.jpeg
"Molho de soja",,,Delivery,,VMOL140-24040249,,,Não,"1,2000","0,0000",Uni,Sim,13,,,P,,S,"-3760,0000",100,
"Molho Agri-doce",,,Delivery,,VMOL141-24040271,,,Não,"1,2000","0,0000",Uni,Sim,13,,,P,,S,"-2064,0000",100,
"Molho Teriyaki",,,Delivery,,VMOL142-24040266,,,Não,"1,2000","0,0000",Uni,Sim,13,,,P,,S,"-1744,0000",100,
Wasabi,,,Delivery,,VWAS143-24040238,,,Não,"1,2000","0,0000",Uni,Sim,13,,,P,,S,"-1104,0000",100,
"Compal Laranja",,,Delivery,,VCOM144-24040210,,,Não,"3,0000","0,0000",Uni,Sim,23,,,P,,S,"-22,0000",100,https://www.vendus.pt/foto/6285455eb64d70a7d0fb2988d4a5cff8.jpg
"Combinado 6 (14 pçs)",,,"Take away Sushi in Sushi",,VCOM145-2404036,,,Não,"13,0000","0,0000",Uni,Sim,13,,,P,,S,"-13,0000",100,https://www.vendus.pt/foto/577e32902a84496e735f145cba60f3ce.jpeg
"Combinado 5 (14 pçs)",,,"Take away Sushi in Sushi",,VCOM146-2404031,,,Não,"13,0000","0,0000",Uni,Sim,13,,,P,,S,"-38,0000",100,https://www.vendus.pt/foto/92917861e8b21230897f08d8a05284c6.png
"Combinado 7 (16 pçs)",,,"Take away Sushi in Sushi",,VCOM147-24040397,,,Não,"13,0000","0,0000",Uni,Sim,13,,,P,,S,"-27,0000",100,https://www.vendus.pt/foto/8929e21b80fd41ccd468b4c60f9d21d3.jpeg
"Combinado 8 (24 pçs)",,,"Take away Sushi in Sushi",,VCOM148-24040345,,,Não,"16,0000","0,0000",Uni,Sim,13,,,P,,S,"-95,0000",100,https://www.vendus.pt/foto/2a8c20b1f900781af663e9b6d4a86557.jpg
"Combinado 9 (24 pçs)",,,"Take away Sushi in Sushi",,VCOM149-24040317,,,Não,"16,0000","0,0000",Uni,Sim,13,,,P,,S,"-64,0000",100,https://www.vendus.pt/foto/51caa9107c51fd92fe7b6dfc17caf512.jpeg
"Combinado 10 (24 pçs)",,,"Take away Sushi in Sushi",,VCOM150-24040314,,,Não,"16,0000","0,0000",Uni,Sim,13,,,P,,S,"-23,0000",100,https://www.vendus.pt/foto/a055bcff69f051806f1973f74bab4af5.jpeg
"Combinado 11 (24 pçs)",,,"Take away Sushi in Sushi",,VCOM151-24040313,,,Não,"18,0000","0,0000",Uni,Sim,13,,,P,,S,"-81,0000",100,https://www.vendus.pt/foto/4491491b37f65141c848e8c14e6bafdd.jpeg
"Combinado 12 (24 pçs)",,,"Take away Sushi in Sushi",,VCOM152-24040399,,,Não,"18,0000","0,0000",Uni,Sim,13,,,P,,S,"-75,0000",100,https://www.vendus.pt/foto/163d628888544a491ae4a352e411dbbd.jpeg
"Combinado 13 (24pçs)",,,"Take away Sushi in Sushi",,VCOM153-24040343,,,Não,"18,0000","0,0000",Uni,Sim,13,,,P,,S,"-16,0000",100,https://www.vendus.pt/foto/029ffffa6b10a1740f5b9e2eecd7ecc4.jpeg
"Combinado 14 (24 pçs)",,,"Take away Sushi in Sushi",,VCOM154-24040347,,,Não,"18,0000","0,0000",Uni,Sim,13,,,P,,S,"-6,0000",100,https://www.vendus.pt/foto/5d475bbed9125e26cbce3d8b08124646.jpeg
"Combinado 15 (24 pçs)",,,"Take away Sushi in Sushi",,VCOM155-24040350,,,Não,"18,0000","0,0000",Uni,Sim,13,,,P,,S,"-8,0000",100,https://www.vendus.pt/foto/9d92d3ff964f0388642ac4d4b6cd5b52.jpeg
"Combinado 16 (58 pçs)",,,"Take away Sushi in Sushi",,VCOM156-24040322,,,Não,"37,0000","0,0000",Uni,Sim,13,,,P,,S,"-95,0000",100,https://www.vendus.pt/foto/bdd167bf0a22928e34b99175142a03f1.png
"Combinado 17 (58 pçs)",,,"Take away Sushi in Sushi",,VCOM157-24040330,,,Não,"37,0000","0,0000",Uni,Sim,13,,,P,,S,"-17,0000",100,https://www.vendus.pt/foto/9cb95298539d94fb009a079b1c206e78.jpeg
"Combinado 18 (58 pçs)",,,"Take away Sushi in Sushi",,VCOM158-2404035,,,Não,"43,0000","0,0000",Uni,Sim,13,,,P,,S,"-21,0000",100,https://www.vendus.pt/foto/c30e60a0b3149e6ffbc1b96034743f13.jpeg
"Combinado 19 (58 pçs)",,,"Take away Sushi in Sushi",,VCOM159-24040349,,,Não,"44,0000","0,0000",Uni,Sim,13,,,P,,S,"-17,0000",100,https://www.vendus.pt/foto/6c72177bf2367eca37a44fc6b02710a3.jpeg
"Tartar do chef ",,,"Take away Sushi in Sushi",,VTAR160-24040391,,,Não,"12,0000","0,0000",Uni,Sim,13,,,P,,S,"-29,0000",100,
"Hot Lovers (8 peças)",,,"Take away Sushi in Sushi",,VHOT161-24040330,,,Não,"9,0000","0,0000",Uni,Sim,13,,,P,,S,"-61,0000",100,https://www.vendus.pt/foto/b9470bbbb28fbe861d8597959c259e9c.jpeg
"Hot Grill Filadélfia (8 pçs)",,,"Take away Sushi in Sushi",,VHOT162-24040364,,,Não,"9,0000","0,0000",Uni,Sim,13,,,P,,S,"-7,0000",100,https://www.vendus.pt/foto/461f32cd2f3c6e96582554b9b811da56.jpeg
"Poke de Salmao e Atum",,,"Take away Sushi in Sushi",,VPOK163-24040389,,,Não,"12,0000","0,0000",Uni,Sim,13,,,P,,S,0,100,
"Temaki Supremo Filadelfia",,,"Take away Sushi in Sushi",,VTEM164-24040324,,,Não,"7,0000","0,0000",Uni,Sim,13,,,P,,S,"-36,0000",100,
"Menu Almoço - Hot de salmão (16 pçs) ",,,"Take away Sushi in Sushi",,VMEN165-24040393,,,Não,"9,0000","0,0000",Uni,Sim,13,,,P,,S,"-52,0000",100,https://www.vendus.pt/foto/1baf6cbe59f50e29efb0bab5f38ca34e.png
"Menu Almoço - Combinado 2 (16 pçs)",,,"Take away Sushi in Sushi",,VMEN166-24040356,,,Não,"11,5000","0,0000",Uni,Sim,13,,,P,,S,"-105,0000",100,https://www.vendus.pt/foto/588637bfb4d1d1c223b82852a07c52bd.jpeg
"Menu Almoço - Poke de Salmão Filadélfia ",,,"Take away Sushi in Sushi",,VMEN167-24040360,,,Não,"10,5000","0,0000",Uni,Sim,13,,,P,,S,"-30,0000",100,https://www.vendus.pt/foto/f3b8b00af97a2efd4ecbc1a827d380fd.png
